period,total_plays,avg_valence,avg_energy,avg_danceability,avg_tempo,avg_acousticness,valence_variance,energy_variance
Weekend,826,0.49,0.495,0.479,115.6,0.551,0.152,0.186
Weekday,678,0.436,0.561,0.527,110.4,0.484,0.148,0.206
