part_of_day,total_plays,avg_valence,avg_energy,avg_danceability,avg_acousticness,avg_instrumentalness,avg_tempo,valence_consistency,energy_consistency
afternoon,651,0.518,0.561,0.541,0.51,0.425,108.5,0.155,0.19
evening,853,0.426,0.497,0.47,0.529,0.402,116.8,0.137,0.199
